review,sentiment,sentiment_pred
سي جلول يعطيك الف صحه و ربي يبارك فيك وكانك شرهه في شباب باش يزيد يقرا اكثر,Positive,negative
نسحو يفهم في كل شيء,Positive,negative
برافو توفيق بردت علي برشه قلوب,Positive,negative
احلي صافي سعيد,Positive,negative
احترم هذا الرجل من اليوم لغدوه,Positive,negative
امين عجبني كوستيمك يااااسر مزيان,Negative,negative
وليد التونسي راجل ولد راجل تونسي اب عن جد,Positive,negative
لطفي العبدلي فنان كبير برشه برشه,Positive,negative
تعجبني هاجر زعما نلقي وحد كيفها تعيش معايا في الجزاير,Positive,negative
ياسر محلاها اناقه ثقافه و رجوله,Positive,negative
ساقطات,Negative,negative
العربي الماسط مرجتونا بيه,Negative,negative
اقمار في رمضان ربي يهديكم,Negative,negative
والله بنات بالف راجل,Positive,negative
الفضل يرجع لامهم الفاضله اللي ربتهم تربيه سليمه ه ما خلتهمش يهزو الغل لبوهم كيما بعض النساء اللي اول ما تطلق تكره اولادها في بوهم و اهله الله يحفظ البنات ما احنهم,Positive,negative
منحط لا تربيه لا ثقافه تو من قله المسرحيين جايبينو هنكره و تو هذا تسميوه مسرحي من اصلو,Negative,negative
اووووه قداش معيوه و ماسط و خامج,Negative,negative
ملا شخصيه صبري تحفون برشا,Positive,negative
لعنت الله عليك احترمنا شويا,Negative,negative
ونعمه الاب والله,Positive,negative
راجل باهي و تحفون و زيد ضامر ويفكيرنا بالضحك و الذمار و الاكثر يعرف يحكي شيخ تحيفا يا تحفون,Positive,negative
نحن نعشق الحوار التونسي,Positive,negative
انصاف اليحياوي تذكرني ببرنامج التذكره الاخيرهيا حسره من الاحلي البرامج الي عملتها الوطنيه و الا تونس في وقتها,Positive,negative
صوت جميل بارعه في التقليد تبارك الله,Positive,negative
محل لك يا وجيهه اما انت راك فنانه هلاميه بلاثتك موش في تونس علاش ما تعملش كيما سناء كويس عفوا سناء يوسف,Positive,negative
نحترمو برشا الراجل هاذا ايمن من ايطاليا,Positive,negative
ما شاء الله عليها ممثله و عليها لكلام,Positive,negative
امسط منشط شفتو في حياتي,Negative,negative
ما عجبتنيش الغنايه لا علاقه,Negative,negative
وجيهه الجندوبي تعتبر من الممثلات المتميزين حقيقتا انا شخصيا من ملاحظتي لاعمالها الدراميه في عده مسلسلات تونسيه مثل منامه عروسيه وعوده المنيار الخ تبدع في اتقان الدور والشخصيه حقيقتا انا شخصيا احترم هاته الفنانه المبدعه وتحيه وتقدير لذاتها وشكرا,Positive,negative
شنوه صار تفووووه عليكم ملا تفاهات,Negative,negative
احلا امين احلا كاف احلا مكي و زكيه يعمي راني نقدرك ههههههههه رياض النهدي,Positive,negative
يعطيه الصحه,Positive,negative
نحبها هي عسل,Positive,negative
مقداد يحكي علي التربيه و الاخلاق نسي روحو اش عمل مع فاطمه بوساحه ملا نفاق,Negative,negative
بصراحه ممصتهم,Negative,negative
هذيكا اجمل فنانه تونسيه عبر التاريخ ان شاءالله ديما متالقه,Positive,negative
سهريه عالميه مع الاندلسي انسان شايخ واضح و صريح احترمك رغم انتمايي للافريقي برافو واصل في طريق النجاح و ربي يوفقك خير,Positive,negative
عالم منافق,Negative,negative
جعفور وحدك في جو يا معلم ديما مزاهينا,Positive,negative
باج مزيانه و فها خدمه تحفونه الباج,Positive,negative
نجلاء انت ممثله كبيره و انا نحبك برشا و نتبعك برشا اما نقولك الصوت و لغناء سيب عليك خليك في دايره التمثيل يزي خليك محبوبه,Positive,negative
يدعي العلم وهو جاهل,Negative,negative
ماسط لاسط لعبها مبدع وهو ابداعو الوحيد الطحين والسراب وعداء للنهضه اكب سعدك النهضه لا تتمني ان يناصرها امثالك يا منحط,Negative,negative
كلنا ننتظر صافي سعيد الكاريزما و لباقه,Positive,negative
هههه والله تحفونه الفازه انتي الراجل ياسز حلوه الحوار التونسي باهيه في كل شي راااجل بنيه باهيه معلم الشيخ مورو,Positive,negative
صراحه احمد الرحموني,Positive,negative
ممثل لم ينجح الا في ادوار التقفيف والتلحيس والصبه وحتي في الدنيا انسان منافق جباااان ولحاااس,Negative,negative
سخيف,Negative,negative
حلقه ممتازه,Positive,negative
مقنعه و مبدعه خديجه الفهري,Positive,negative
ماخمجكم و الله اتفوه اعليكم,Negative,negative
ووووووووو ما اجملك,Positive,negative
مرا مخيب راسك يا هايشه,Negative,negative
احلي برنامج تحياتي الي تونس الخظراء ولي سي علاء,Positive,negative
حلقه اليله ذات مستوي عالي برافو كلام ناس,Positive,negative
درتوا العار ما عندكم حتي علاقه بالكوميديا حالكم يزعج والفرجه عليكم ممله سيب عليكم شوفوا حاجه اخري غير الدومان هذا درتوا العار في قناه العار,Negative,negative
ساقطه وموش عبده توه ليليا غلطت ونادمه هي وفايقه بروحها اش عملت وتحب تبعد عليه وتنحيه من مخهها وشوف هالكلبه اش عملت لتخمم كان في روحها ساقطه,Negative,negative
صفر مستواك صفرررررررر,Negative,negative
كلاب مرتزقه,Negative,negative
جعفور ياتحفون ربي يحميك مالعينين ووصل رك,Positive,negative
عاهره بما تحمله الكلمه من معني,Negative,negative
برافووووو,Positive,negative
واحد متثقف و ميخاف من حد مش كيف برشا عباد منافقين يهيزوا في القفه,Positive,negative
هي ممثله العهر في قناه الدعاره الاعلاميه,Negative,negative
ملا تربيه ومستوي هذا الكل ثقافه لا ياللا هاذي قلت حياء,Negative,negative
زباله,Negative,negative
عيب والله,Negative,negative
مخيب راسك,Negative,negative
اه يعطيك دوده يا نجلووته محلاك بو زينك يا عسله,Positive,negative
تعجبني كيف تبدي تحكي,Positive,negative
مسكينه تحسها تتحمل في شمس فوق من قلبها,Positive,negative
والله جعفر القاسمي انسان خلوق و لا يستهزي بالناس ولا بالجهويات وهو ضااامر و بشوش,Positive,negative
محلاك يا راضيه,Positive,negative
مراه تونسيه متالقه,Positive,negative
ريم الله يبارك عليك راكي غير تزياني وضحكتك عسوله كيفك,Positive,negative
تهبل سمير نحببببك,Positive,negative
ممثله متمكنه حظ موفق,Positive,negative
فتاه صغيره متميزه عن باقي الفتيات,Positive,negative
اسفي علي بلدي هل اصبحنا في زمن نناقش ما حرمه الله,Negative,negative
بلطياحسن مغني راب في تونس مفيش اكلام,Positive,negative
ارزن من ملايكتوا ما فماش,Negative,negative
موهر,Positive,negative
انا موافقك من ها اليله باش نحبوا سامي نموت عليه ياربي يقتلني مادام يحس بزوالي بلحق نقدروا ونحبو,Positive,negative
فاشل و كذاب و فيديو نسمه شاهد عليك,Negative,negative
مااااسط,Negative,negative
ملا منظر جداقوا تقول كونتوار متاع حماص,Negative,negative
تحبو دخلو في المخاخ العباد الي الحرام نورمااال,Negative,negative
برنامج متاع موبنا نعنبو زك امكم يا خماج فيكم كان قحاب و موبنا والله نحلف عليكم تتبادلو بنساء و سامي الفهري ينيك فيكم يا خماج برامج و مواضيع متاع وبنا والله نحلف عليكم كلكم ناقصين عصبا,Negative,negative
ماسطه تقتل بالمساطه,Negative,negative
محلاهاا مذخمه وخدامه ربي معاااك,Positive,negative
احسن الممثلات في تونس,Positive,negative
الثعلب الماكر,Negative,negative
بصرحه شي يحشم ومصح رقعتك جاي لتلفزه وتحب دافع علي المثليه راك هنتنا وهنت التوانسه اللكل شي يوسف,Negative,negative
مسلسل خمج,Negative,negative
تونس غارفه بالفقر و البطاله و الحرقه و السرقه و هذا جاي يحكي علي شذوذو بري يعيش ولدي انت حر في بدنك,Negative,negative
برجوليه تبركلا علاها,Positive,negative
مرمز عبد,Negative,negative
احسن حاجه عملها سامي الفهري حاجه متوقعه,Positive,negative
بصراحه وهرتو وحدها ديما مشيخنا لمعلم,Positive,negative
شيخه ظحك,Positive,negative
العاهره تشتغل بمخور,Negative,negative
اسفي علا زمن يتحدث فيه مثلي و تتحدث فيه عاهره علي الشرف راك ماسطاااا راك لاسطااااا ههههه ماسط يمكن لكن الامسط منو شكيب,Negative,negative
ريم عندو لحق رجلك اغير عليك ي زين وعين واخلاق محلاهاا,Positive,negative
وحدك في الوهره يا كيمو و بكلهم غايرين منك نمووووت عليك محلاك,Positive,negative
نور شيبه وين ما يكون ديما ناجح ملا وهره و ملا فن محلاه عندو تسمع التراث و الكلمه الحلوه المنسيه,Positive,negative
تعجبني وجيهه كيف تمثل فالمسلسلات ونحبها ونموت علاها,Positive,negative
عزيمه اصرار نجاح مدرسه من الاحسان ربنا يوفقهم,Positive,negative
نحن فنانين صفاقس ومقداد السهيلي لايمثلناولانعترف به,Negative,negative
عندوا القبول و انشاء الله ربي معاه,Positive,negative
كمشه موبن واقحاب يعطونيش مال الدنيا ما نتفرج فيهم هوما و اي قناه تونسيه,Negative,negative
برافو ناجي جلول,Positive,negative
قناه الدعاره تبا لكم,Negative,negative
انت احسن فنانه في تونس ربي معك وراني نحبك برشششششش,Positive,negative
ممصط دين رب امك,Negative,negative
من احسن الممثلين في تونس بالتوفيق انشاء لله المسرح فن راقي وابدع فني انشاء لله بالنجاح في كل الاعمال,Positive,negative
لمين النهدي امبرطور الكوميديا واللون الاحمر ضواه ماحلاك يا لمين,Positive,negative
ناجي جلول,Positive,negative
من احسن الممثلين في تونس انشاء الله من حسن الي احسن,Positive,negative
زهير الذوادي محلاك محلاك هههههههههه,Positive,negative
ياسر يعجبني ربي معاه,Positive,negative
ممسطو,Negative,negative
انشاء الله ربي يحلها في وجهك يا لطفي رانا نحبوك برشااااا,Positive,negative
ماسطه لحقيقه,Negative,negative
برجوليه ممسطك يا لطفي قداكش بلييييد,Negative,negative
مقداد السهيلي عفاط,Negative,negative
اش لزك,Negative,negative
برشا سخافه و رخس و قلت تربيه والله اول مره نتفرج فيه خاطر حطينو في القهوه و اخر مره زاده,Negative,negative
تحياتي لهاته الاستاذه تحياتي لهاته الاستاذه تحياتي لهاته الاستاذه تحياتي لهاته الاستاذه تحياتي لهاته الاستاذه,Positive,negative
من افضل الحلقات التي شاهدتها حلقه ممتازه و راقيه علي مستوي النقاش و التفاعل و الاسيله و تحيه الي الضيوف الكرام الذين ارتقوا بهذه الحلقه,Positive,negative
مرزنها ممصتها,Negative,negative
قالولي متجيش وشنو هاذي الغنيه الماسطه,Negative,negative
جلطام,Negative,negative
تعجبني وجيهه علي خاطر تخدم علي روحها ومايهمها في حتي شي,Positive,negative
انا نكره الكذب حتي في المسلسلات,Negative,negative
ضايع فيييييييها و مصطك زاده,Negative,negative
وجيهه ربي ايوفقك,Positive,negative
توفيق الغربي ابرز مثال للانحطاط اي تقافه ينجم يوصلهالنا انسان عديم الثقافه والاخلاق,Negative,negative
تحفونه حبيتها حنان شقراوي قنبله الساحه باتم معني الكلمه ما شاء الله عليه اخلاق عاليه و كلام موزون تعجبني بارشا وجيهه في تونس ما تلقاش فنانه كيفها وحدك يا جعفور زهيتها السهريه ربي يوفقك ان شاء الله ربي يوفقق ياعلاء انسان طيب وعلي اخلاق عاليه بارك الله فيه ابدعت يا وليد التونسي الف قبله علي جبين امك فقد انجبت رجلا بحق شكرا ايها الفنان معلم وحدك وحدك احسن سيتكوم عجبتني بالدموع او مل روعه مش نرمال وهرا وزين تالحصيلو ربي يهنيك ويخليلك المدام انسان ضامر ومتربي برافو راجل تباركله عليها بنتك كالقمر خاصه انها عندها اب مثلك لازم انك تفتخر بالاموره رحمه نحن نعشق الحوار التونسي صاحب الجو و الربوخ محلاك مروي و نشاء الله من حسن الي احسن ضامر و صاحب جو ربي يوفقك يا جلول يا معلم يا معذبهم احسنت فيما قلتها حنان الشقراني احسن تعجبني كامراه متزنه مستقيمه و ابتسمتها متفرقهاش برافو وليد فرهدتلنا علي قلوبنا رجال وسيد الرجال عجبتني اللحمهبين الاخوه فعلا انت سيده تونس بامتياز كلنا ثقه في ارايك وندعمك دايما واتمني لو نساء تونس الكل يكونو مثل السيده الفاضله محرزيه العبيدي الفه فنااااانه في كا شيء بكل ما تحمله الكلمه من معني بصراحه روعه روعه روعه لطيف وحدك في الضحك ماشاءالله تبارك الله ربنا يحفظها ويمد في عمرها انشاء الله,Positive,negative
لمين وحدو في اافكاهه,Positive,negative
مومثله ناجحه او نتمنلالها مسفقبل مليء بل اعمال الجيده,Positive,negative
تعرفو كرهتوني في قنات تونسي برمجكم اخي اخي بكل مصظين برشا,Negative,negative
مااسقطو راجل توه الحبس تنحات منو الصبه والراقو مكذبك عندي احساس الا عدوه للدراقه هههه خرج يهتري بالحبس تي المهم لكلها لغه باش يكمل عروضو في الحبس,Negative,negative
هذا انسان يحارب في الميوعه وقله الحياء انا معاك يامعلم,Negative,negative
محلاها نحبها برشااااا,Positive,negative
ماااااااااسط حتي بالقارص ميتهضمش,Negative,negative
و الله يا هاجر صحه ليه اللي باش ياخذك و تشرف اي تونسي يا بنت بلادي و محلاك,Positive,negative
تحفه,Positive,negative
كم انت تونسي يا وليد برافو وليد,Positive,negative
الي عجبني فيهم رغم طلاق بوهم من امهم و بوهم غايب عليهم سنه يلوجو علي بباهم حاجه باهيه برشه في المجتمع ريتو الفرحه كفاش ريتو اللمه بلا بو و ام مهيش معيشه و اغلا حاجه عندي انا ربي سبحانو و الوالدين نقولهم ربي يدوم محبتكم و ربحتو حاجه في الدنيا هي رضايه الوالدين اخوكم مراد من الجزاير,Positive,negative
لحاااااااااااس,Negative,negative
معلم اما ينقص مل كلام الفارغ,Positive,negative
برااااافو,Positive,negative
يعطيه زلزاااااال مامسطوووووووو وما ارزنوووووو موش متربي ومش محترم ويتوعر برشاااا,Negative,negative
تعجبني,Positive,negative
يهبل جعفور وين مايمشي يحفلها ويضحكنا من غير ما يسيي لاي شخص,Positive,negative
