clean_text,sentiment
سي جلول يعطيك ألف صحة و ربي يبارك فيك وكأنك شرهة في شباب باش يزيد يقرأ أكثر,Positive
نسحو يفهم في كل شيء,Positive
برافو توفيق بردت على برشة قلوب,Positive
أحلى صافي سعيد,Positive
احترم هذا الرجل من اليوم لغدوة,Positive
امين عجبني كوستيمك يااااسر مزيان,Negative
وليد التونسي راجل ولد راجل تونسي أب عن جد,Positive
لطفي العبدلي فنان كبير برشة برشة,Positive
تعجبني هاجر زعما نلقى وحد كيفها تعيش معايا في الجزائر,Positive
ياسر محلاها أناقة ثقافة و رجولة,Positive
ساقطات,Negative
العربي الماسط مرجتونا بيه,Negative
اقمار فى رمضان ربى يهديكم,Negative
والله بنات بألف راجل,Positive
الفضل يرجع لأمهم الفاضلة اللي ربتهم تربية سليمة ة ما خلتهمش يهزو الغل لبوهم كيما بعض النساء اللي اول ما تطلق تكره اولادها في بوهم و اهله الله يحفظ البنات ما احنهم,Positive
منحط لا تربيه لا ثقافه تو من قلة المسرحيين جايبينو هنكره و تو هذا تسميوه مسرحي من اصلو,Negative
اووووه قداش معيوه و ماسط و خامج,Negative
ملا شخصية صبري تحفون برشا,Positive
لعنت الله عليك احترمنا شويا,Negative
ونعمة الاب والله,Positive
راجل باهي و تحفون و زيد ضامر ويفكىرنا بالضحك و الذمار و الاكثر يعرف يحكي شيخ تحيفا يا تحفون,Positive
نحن نعشق الحوار التونسي,Positive
إنصاف اليحياوي تذكرنى ببرنامج التذكرة الاخيرة،يا حسرة من الأحلى البرامج إلى عملتها الوطنية و الا تونس في وقتها,Positive
صوت جميل بارعة في التقليد تبارك الله,Positive
محل لك يا وجيهة أما أنت راك فنانة هلامية بلاثتك موش في تونس علاش ما تعملش كيما سناء كويس عفوا سناء يوسف,Positive
نحترمو برشا الراجل هاذا ، ايمن من ايطاليا,Positive
ما شاء الله عليها ممثلة و عليها لكلام,Positive
أمسط منشط شفتو في حياتي،,Negative
ما عجبتنيش الغنايه لا علاقة,Negative
وجيهة الجندوبي تعتبر من الممثلات المتميزين حقيقتا انا شخصيا من ملاحظتي لاعمالها الدرامية في عدة مسلسلات تونسية مثل منامة عروسية وعودة المنيار الخ تبدع في اتقان الدور والشخصية حقيقتا انا شخصيا احترم هاته الفنانة المبدعة وتحية وتقدير لذاتها وشكرا,Positive
شنوة صار ؟؟تفووووه عليكم ملاّ تفاهات,Negative
احلا امين احلا كاف احلا مكي و زكية يعمي راني نقدرك ههههههههه رياض النهدي,Positive
يعطيه الصحة,Positive
نحبها هي عسل,Positive
مقداد يحكي على التربية و الأخلاق نسي روحو آش عمل مع فاطمة بوساحة ملا نفاق,Negative
بصراحة ممصتهم,Negative
هذيكا اجمل فنانة تونسية عبر التاريخ ان شاءالله ديما متألقة,Positive
سهرية عالمية مع الأندلسي ، إنسان شايخ ، واضح و صريح ، احترمك رغم انتمائي للأفريقي برافو واصل في طريق النجاح و ربي يوفقك خير,Positive
عالم منافق,Negative
جعفور وحدك في جو يا معلم ديما مزاهينا,Positive
باج مزيانة و فها خدمة تحفونة الباج,Positive
نجلاء انت ممثلة كبيرة و انا نحبك برشا و نتبعك برشا اما نقولك الصوت و لغناء سيب عليك خليك في دائرة التمثيل يزي خليك محبوبة,Positive
يدعي العلم وهو جاهل,Negative
ماسط لاسط لعبها مبدع وهو ابداعو الوحيد الطحين والسراب وعداء للنهضة اكب سعدك النهضة لا تتمنى ان يناصرها امثالك يا منحط,Negative
كلنا ننتظر صافي سعيد الكاريزما و لباقة,Positive
هههه والله تحفونة الفازة انتي الراجل ياسز حلوة الحوار التونسي باهية في كل شي راااجل بنية باهية معلم الشيخ مورو,Positive
صراحة أحمد الرحموني,Positive
ممثل لم ينجح الا في ادوار التقفيف والتلحيس والصبة وحتى في الدنيا انسان منافق جباااان ولحاااس,Negative
سخيف,Negative
حلقة ممتازة,Positive
مقنعة و مبدعة خديجة الفهري,Positive
ماخمجكم و الله اتفوه اعليكم,Negative
ووووووووو ما اجملك,Positive
مرا مخيب راسك يا هايشة,Negative
احلي برنامج تحياتي الى تونس الخظراء ولى سي علاء,Positive
حلقة اليلة ذات مستوي عالي برافو كلام ناس,Positive
درتوا العار ما عندكم حتى علاقة بالكوميديا حالكم يزعج والفرجة عليكم مملة سيب عليكم شوفوا حاجة اخرى غير الدومان هذا درتوا العار في قناة العار,Negative
ساقطة وموش عبده توه ليليا غلطت ونادمة هي وفايقه بروحها اش عملت وتحب تبعد عليه وتنحيه من مخهها وشوف هالكلبه اش عملت لتخمم كان في روحها ،ساقطة,Negative
صفر مستواك صفرررررررر,Negative
كلاب مرتزقة,Negative
جعفور ياتحفون ربي يحميك مالعينين ووصل رك,Positive
عاهرة بما تحمله الكلمة من معنى,Negative
برافووووو,Positive
واحد متثقف و ميخاف من حدّ مش كيف برشا عباد منافقين يهيزوا في القفة,Positive
هي ممثلة العهر في قناة الدعارة الاعلامية,Negative
ملا تربية ومستوى هذا الكل ثقافة لا ياللا هاذي قلت حياء,Negative
، زبالة,Negative
عيب والله,Negative
مخيب راسك,Negative
اه يعطيك دودة يا نجلووتة محلاك بو زينك يا عسلة,Positive
تعجبني كيف تبدى تحكي,Positive
مسكينة تحسها تتحمل في شمس فوق من قلبها,Positive
والله جعفر القاسمي إنسان خلوق و لا يستهزئ بالناس ولا بالجهويات وهو ضااامر و بشوش,Positive
محلاك يا راضية,Positive
مرأة تونسية متألقة,Positive
ريم الله يبارك عليك راكي غير تزياني وضحكتك عسولة كيفك,Positive
تهبل سمير نحببببك,Positive
ممثلة متمكنة حظ موفق,Positive
فتاة صغيرة متميزة عن باقي الفتيات,Positive
أسفي على بلدي هل أصبحنا في زمن نناقش ما حرمه الله,Negative
بلطىأحسن مغنى رأب فى تونس مفيش إكلام,Positive
ارزن من ملايكتوا ما فماش,Negative
موهر,Positive
أنا موافقك من ها اليلة باش نحبوا سامي نموت عليه ياربي يقتلني مادام يحس بزوالي بلحق نقدروا ونحبو,Positive
فاشل و كذاب و فيديو نسمه شاهد عليك,Negative
مااااسط,Negative
ملا منظر جداقوا تقول كونتوار متاع حماص,Negative
تحبو دخلو في المخاخ العباد الي الحرام نورمااال,Negative
برنامج متاع موبنا نعنبو زك أمكم يا خماج فيكم كان قحاب و موبنا والله نحلف عليكم تتبادلو بنساء و سامي الفهري ينيك فيكم يا خماج برامج و مواضيع متاع وبنا والله نحلف عليكم كلكم ناقصين عصبا,Negative
ماسطة تقتل بالمساطة,Negative
محلاهاا مذخمة وخدامه ربي معاااك,Positive
أحسن الممثلات في تونس,Positive
الثعلب الماكر,Negative
بصرحة شئ يحشم ومصح رقعتك جاي لتلفزة وتحب دافع على المثلية راك هنتنا وهنت التوانسة اللكل شئ يؤسف,Negative
مسلسل خمج,Negative
تونس غارفة بالفقر و البطالة و الحرقة و السرقة و هذا جاي يحكي على شذوذو برى يعيش ولدي انت حر في بدنك,Negative
برجولية تبركلا علاها,Positive
مرمز عبد,Negative
أحسن حاجة عملها سامي الفهري حاجة متوقعة,Positive
